time,open,high,low,close,volume
2021-02-23 11:36:00,185.58,187.25,185.58,187.25,12361
2021-02-23 11:35:00,184.87,186.02,184.7316,185.7875,10635
2021-02-23 11:34:00,184.47,184.85,184.3101,184.85,18461
2021-02-23 11:33:00,184.57,184.68,184.31,184.47,13580
2021-02-23 11:32:00,185.0701,185.28,184.6,184.6,10505
2021-02-23 11:31:00,185.315,185.33,185.0001,185.075,5492
2021-02-23 11:30:00,184.825,185.3,184.5001,185.1701,7213
2021-02-23 11:29:00,185.315,185.3675,184.47,184.5001,26310
2021-02-23 11:28:00,185.255,185.35,185.06,185.2675,6396
2021-02-23 11:27:00,185.085,185.4799,185.05,185.06,7147
2021-02-23 11:26:00,185.93,186.1659,185.16,185.16,13497
2021-02-23 11:25:00,185.97,186.5,185.6301,185.7825,16066
2021-02-23 11:24:00,185.665,185.85,185.07,185.85,11672
2021-02-23 11:23:00,186.02,186.02,185.65,185.65,20727
2021-02-23 11:22:00,186.8,186.8,186.02,186.02,8564
2021-02-23 11:21:00,187.97,187.97,186.8,186.8,11738
2021-02-23 11:20:00,188.2,188.2,187.57,187.57,4455
2021-02-23 11:19:00,188.295,188.48,188.1001,188.14,7489
2021-02-23 11:18:00,188.445,188.5,188.09,188.3,8264
2021-02-23 11:17:00,188.2401,188.5074,187.92,188.49,6069
2021-02-23 11:16:00,187.37,188.52,187.37,188.465,8992
2021-02-23 11:15:00,187.5292,187.68,187.245,187.245,5923
2021-02-23 11:14:00,187.79,187.86,187.3101,187.3101,17034
2021-02-23 11:13:00,187.81,187.925,187.71,187.7269,7263
2021-02-23 11:12:00,188.475,188.57,187.74,187.88,14897
2021-02-23 11:11:00,188.6801,188.7899,188.35,188.48,7129
2021-02-23 11:10:00,188.82,188.99,188.4901,188.8,4882
2021-02-23 11:09:00,188.895,189.25,188.81,188.81,5538
2021-02-23 11:08:00,188.75,189.19,188.3505,188.87,5673
2021-02-23 11:07:00,189.38,189.385,188.72,189.06,13520
2021-02-23 11:06:00,189.59,189.9999,189.2101,189.24,6228
2021-02-23 11:05:00,189.75,189.95,189.11,189.75,9251
2021-02-23 11:04:00,189.79,190.38,189.71,189.75,18396
2021-02-23 11:03:00,189.48,189.86,189.1695,189.77,8526
2021-02-23 11:02:00,189.39,189.62,189.0201,189.0593,6627
2021-02-23 11:01:00,188.56,189.41,188.56,189.1701,6901
2021-02-23 11:00:00,187.6244,188.8339,187.6244,188.67,7006
2021-02-23 10:59:00,187.96,188.0,187.62,187.6539,13287
2021-02-23 10:58:00,188.6801,188.86,187.95,187.95,17032
2021-02-23 10:57:00,189.14,189.32,188.6701,188.785,6936
2021-02-23 10:56:00,189.11,189.441,188.8601,189.3999,11057
2021-02-23 10:55:00,189.0975,189.3,188.6701,189.04,14436
2021-02-23 10:54:00,189.1287,189.395,189.03,189.0397,10348
